yy,flag,eez,fleet,alb_kg,alb_mt,bet_kg,bet_mt,skj_kg,skj_mt,yft_kg,yft_mt,oth_kg,oth_mt
1992,US,HW,HW,69484.287,69.484,875479.479,875.479,0,0,233583.027,233.583,0,0
1992,US,I5,HW,18295.268,18.295,146082.520,146.083,0,0,26664.156,26.664,0,0
1992,US,I6,HW,244202.301,244.202,461070.085,461.070,0,0,97610.911,97.611,0,0
1992,US,PY,HW,18.144,0.018,7367.916,7.368,0,0,4141.906,4.142,0,0
1993,AU,AU,AU,184718.120,184.718,23342.869,23.343,5000,5,780135.082,780.135,0,0
1993,AU,AU,JV,126000,126,0,0,0,0,1000,1,0,0
1993,AU,I7,AU,1281.880,1.282,1657.131,1.657,0,0,864.918,0.865,0,0
1993,CN,FM,,670,0.670,1682462,1682.462,0,0,1186620,1186.620,0,0
1993,CN,I1,,0,0,439316,439.316,0,0,307863,307.863,0,0
1993,CN,I3,,0,0,988,0.988,0,0,553,0.553,0,0
1993,CN,I4,,0,0,280146,280.146,0,0,263509,263.509,0,0
1993,CN,I5,,0,0,280146,280.146,0,0,263509,263.509,0,0
1993,CN,I7,,220,0.220,0,0,0,0,0,0,0,0
1993,CN,MH,,0,0,25885,25.885,0,0,14951,14.951,0,0
1993,CN,PW,,110,0.110,955057,955.057,0,0,716995,716.995,0,0
1993,FJ,FJ,,463000,463,204000,204,0,0,319000,319,0,0
1993,FM,FM,,0,0,34973.200,34.973,0,0,55684.467,55.684,0,0
1993,FM,I1,,0,0,5026.800,5.027,0,0,5315.533,5.316,0,0
1993,ID,ID,,0,0,2522000,2522,0,0,11221000,11221,0,0
1993,JP,AU,DW,1918642.958,1918.643,287629.139,287.629,12169,12.169,2117758.985,2117.759,0,0
1993,JP,FM,DW,54271.061,54.271,4543965.050,4543.965,0,0,4908335.997,4908.336,0,0
1993,JP,GL,DW,287.993,0.288,518581.070,518.581,0,0,762797.060,762.797,0,0
1993,JP,I1,DW,30605.145,30.605,529432.721,529.433,0,0,562035.233,562.035,0,0
1993,JP,I2,DW,8811.004,8.811,747148.467,747.148,29.862,0.030,917193.172,917.193,0,0
1993,JP,I3,DW,37605.627,37.606,1683642.004,1683.642,0,0,1820592.173,1820.592,0,0
1993,JP,I4,DW,129231.575,129.232,4834738.420,4834.738,5170.664,5.171,3970676.580,3970.677,0,0
1993,JP,I5,DW,161807.358,161.807,5309479.534,5309.480,8534.084,8.534,2580996.751,2580.997,0,0
1993,JP,I6,DW,10393820.805,10393.821,8580613.070,8580.613,14280.985,14.281,2841612.099,2841.612,0,0
1993,JP,I7,DW,1460904.551,1460.905,394472,394.472,8822.756,8.823,707668.262,707.668,0,0
1993,JP,ID,DW,0,0,5973.070,5.973,0,0,4607.068,4.607,0,0
1993,JP,IW,DW,0,0,33415.088,33.415,0,0,11956.750,11.957,0,0
1993,JP,JP,CS,16591000,16591,6889000,6889,157000,157,7950000,7950,0,0
1993,JP,JP,DW,3101334.107,3101.334,977058.787,977.059,140992.650,140.993,1054701.851,1054.702,0,0
1993,JP,MH,DW,12507.986,12.508,2064629.070,2064.629,0,0,1408723.921,1408.724,0,0
1993,JP,NF,DW,16384.068,16.384,1062.887,1.063,0,0,7612.024,7.612,0,0
1993,JP,NZ,DW,67065.070,67.065,2886.097,2.886,0,0,24.973,0.025,0,0
1993,JP,PG,DW,1148.927,1.149,178882.968,178.883,0,0,149766.903,149.767,0,0
1993,JP,PW,DW,519.927,0.520,68122.098,68.122,0,0,71318.027,71.318,0,0
1993,JP,SB,DW,515052.019,515.052,527269.087,527.269,0,0,1846621.913,1846.622,0,0
1993,KR,CK,,212,0.212,3492,3.492,0,0,1441,1.441,0,0
1993,KR,FM,,0,0,14460,14.460,0,0,8577,8.577,0,0
1993,KR,GL,,5544,5.544,416848,416.848,0,0,507271,507.271,0,0
1993,KR,H4,,5857,5.857,38433,38.433,0,0,81606,81.606,0,0
1993,KR,H5,,5568,5.568,186101,186.101,0,0,131209,131.209,0,0
1993,KR,I2,,1821,1.821,82059,82.059,0,0,66356,66.356,0,0
1993,KR,I4,,405333.995,405.334,5322648.570,5322.649,1440,1.440,3021410.544,3021.411,0,0
1993,KR,I5,,405333.995,405.334,5322648.570,5322.649,1440,1.440,3021410.544,3021.411,0,0
1993,KR,I9,,15,0.015,934,0.934,0,0,50,0.050,0,0
1993,KR,LN,,64437,64.437,1520628,1520.628,120,0.120,906456,906.456,0,0
1993,KR,MH,,0,0,2202,2.202,0,0,1555,1.555,0,0
