yy,flag,eez,days,bet_kg,bet_mt,skj_kg,skj_mt,yft_kg,yft_mt
1993,JP,H4,12.956,10093.700,10.094,75248.141,75.248,5604.537,5.605
1993,JP,H5,32.390,7478.634,7.479,753838.291,753.838,10835.354,10.835
1993,JP,I1,370.864,778995.964,778.996,6297554.819,6297.555,730054.852,730.055
1993,JP,I2,2061.089,6765946.907,6765.947,39690475.952,39690.476,4488100.923,4488.101
1993,JP,I3,25.372,22694.887,22.695,262327.976,262.328,28526.250,28.526
1993,JP,I4,26.992,6456.981,6.457,81058.786,81.059,4538.471,4.538
1993,JP,I5,22.673,1832.998,1.833,76697.900,76.698,6541.617,6.542
1993,JP,I6,609.126,333900.007,333.900,15872503.437,15872.503,517999.862,518
1993,JP,I9,1.080,0,0,0,0,0,0
1993,JP,JP,1111.863,669600.011,669.600,29736295.324,29736.295,3249797.803,3249.798
1993,JP,MH,2.030,0,0,10000.288,10,0,0
1993,JP,MP,4.060,0,0,0,0,0,0
1993,JP,PW,14.211,0,0,297000.285,297,53000.080,53
1993,KR,FM,2755.679,1498615,1498.615,23209773,23209.773,11512794,11512.794
1993,KR,GL,300.212,327151,327.151,5175806,5175.806,2424891,2424.891
1993,KR,I1,512.302,338464,338.464,5124258,5124.258,2048342,2048.342
1993,KR,I2,1822.183,1514045,1514.045,20378794,20378.794,11131023,11131.023
1993,KR,I3,1.494,0,0,0,0,0,0
1993,KR,I4,1.494,0,0,0,0,0,0
1993,KR,ID,7.866,4348,4.348,60081,60.081,40886,40.886
1993,KR,IW,1.124,0,0,0,0,0,0
1993,KR,NR,8.961,0,0,0,0,0,0
1993,KR,PG,2976.730,1794263,1794.263,24977511,24977.511,14365004,14365.004
1993,KR,SB,20.911,28908,28.908,436432,436.432,180611,180.611
1993,NZ,NZ,30.042,0,0,937000,937,0,0
1993,PH,FM,2.500,0,0,0,0,0,0
1993,PH,ID,7.473,1208,1.208,25615,25.615,16060,16.060
1993,PH,PG,2312.106,1461271,1461.271,14444350,14444.350,12310243,12310.243
1993,PH,PH,0,443000,443,34547000,34547,3989000,3989
1993,PH,SB,92.484,37595,37.595,927239,927.239,510418,510.418
1993,SB,I2,1,41,0.041,1019,1.019,942,0.942
1993,SB,PG,1,360,0.360,14648,14.648,9071,9.071
1993,SB,SB,369,248375,248.375,4674106,4674.106,5369439,5369.439
1993,SU,GL,0,372000,372,5889000,5889,2453000,2453
1993,TW,FM,3101.416,2300012,2300.012,31489059,31489.059,12810438,12810.438
1993,TW,I1,2902.545,2242369,2242.369,28848231,28848.231,11315017,11315.017
1993,TW,I2,253.774,304751,304.751,3129531,3129.531,1754027,1754.027
