yy,flag,eez,alb_kg,alb_mt,bet_kg,bet_mt,skj_kg,skj_mt,yft_kg,yft_mt,oth_kg,oth_mt
1991,US,AS,1000,1,0,0,0,0,0,0,0,0
1991,US,HW,111987.754,111.988,850946.945,850.947,0,0,470473.746,470.474,0,0
1991,US,I5,19665.408,19.665,45149.456,45.149,0,0,10887.715,10.888,0,0
1991,US,I6,181139.232,181.139,648822.358,648.822,0,0,261579.546,261.580,0,0
1991,US,PY,207.607,0.208,11081.225,11.081,0,0,13058.993,13.059,0,0
1992,AU,AU,320000,320,33728.328,33.728,62000,62,1016956.228,1016.956,0,0
1992,AU,I7,0,0,271.672,0.272,0,0,43.772,0.044,0,0
1992,CN,FM,0,0,197556,197.556,0,0,158168,158.168,0,0
1992,CN,I1,0,0,125636,125.636,0,0,161301,161.301,0,0
1992,CN,I4,0,0,110129,110.129,0,0,117075,117.075,0,0
1992,CN,I5,0,0,110129,110.129,0,0,117075,117.075,0,0
1992,CN,PW,0,0,856550,856.550,24,0.024,761381,761.381,0,0
1992,FJ,FJ,243000,243,187000,187,0,0,202000,202,0,0
1992,FM,FM,0,0,35299.788,35.300,0,0,76036.726,76.037,0,0
1992,FM,I1,0,0,11700.212,11.700,0,0,16963.274,16.963,0,0
1992,ID,ID,0,0,2753000,2753,0,0,12248000,12248,0,0
1992,JP,AU,958934.944,958.935,359081.986,359.082,16918,16.918,1209528.079,1209.528,0,0
1992,JP,FM,10111.046,10.111,4357423.857,4357.424,0,0,5932300.936,5932.301,0,0
1992,JP,GL,2499.939,2.500,1257404.891,1257.405,0,0,1945427.123,1945.427,0,0
1992,JP,H5,0,0,2448.158,2.448,0,0,5747.780,5.748,0,0
1992,JP,I1,169.820,0.170,822496.631,822.497,0,0,1072448.385,1072.448,0,0
1992,JP,I2,2901.064,2.901,525187.426,525.187,0,0,743528.124,743.528,0,0
1992,JP,I3,21200.708,21.201,1702220.768,1702.221,0,0,1608189.937,1608.190,0,0
1992,JP,I4,80198.558,80.199,8663183.962,8663.184,0,0,3227646.492,3227.646,0,0
1992,JP,I5,54245.578,54.246,4772272.450,4772.272,0,0,927700.560,927.701,0,0
1992,JP,I6,7935120.599,7935.121,9835553.239,9835.553,0,0,1632465.628,1632.466,0,0
1992,JP,I7,1840795.357,1840.795,510097.557,510.098,0,0,1335006.038,1335.006,0,0
1992,JP,ID,0,0,21603.949,21.604,0,0,12693.098,12.693,0,0
1992,JP,IW,0,0,73123.782,73.124,0,0,12419.492,12.419,0,0
1992,JP,JP,9227348.310,9227.348,8205994.789,8205.995,79000,79,9495111.993,9495.112,0,0
