"","eez","Dist"
"372","Micronesia",52031.9016360937
"373","French Polynesia",181522.797999878
"374","Jarvis Island",154675.653081052
"375","Tuvalu",176787.135329981
"376","Gilbert Islands",148922.952353164
"377","Line Group",154330.150998593
"378","Johnston Atoll",153655.9081285
"379","Phoenix Group",77686.4120874506
"380","Johnston Atoll",180742.051664537
"381","Hawaii",42509.8626333423
"382","Indonesia",16295.7277490427
"383","Gilbert Islands",150674.644757635
"384","Cook Islands",150673.641426923
"385","Line Group",181125.274447334
"386","Nauru",37200.3928747446
"387","Papua New Guinea",96159.8375210983
"388","French Polynesia",46030.3478987789
"389","Johnston Atoll",963.410537194041
"390","French Polynesia",146359.393674157
"391","Nauru",89744.7407950433
"392","Line Group",73704.1753424415
"393","Johnston Atoll",860.079112363205
"394","Palmyra Atoll",58668.8179643948
"395","Northern Mariana Islands",77673.126327803
"396","Philippines",144060.636343995
"397","Line Group",99135.4220383082
"398","French Polynesia",57207.1651306322
"399","Palmyra Atoll",139574.288338415
"400","Marshall Islands",38665.4532921473
"401","Johnston Atoll",35066.1926403167
"402","Marshall Islands",133940.638076164
"403","Northern Mariana Islands",43138.4698377373
"404","Tuvalu",15858.4251892495
"405","French Polynesia",19973.4384630112
"406","Phoenix Group",116727.611600173
"407","Micronesia",160156.465391435
"408","Micronesia",29475.6748923516
"409","French Polynesia",3728.75342892734
"410","Solomon Islands",69489.1362462417
"411","Gilbert Islands",81056.8764503935
"412","Gilbert Islands",178202.65515635
"413","Line Group",108522.241938258
"414","Solomon Islands",62761.2986170083
"415","French Polynesia",120710.57595838
"416","Palau",15441.8519217592
"417","Nauru",74396.5060773643
"418","Marshall Islands",173323.348406899
"419","Micronesia",136821.051436852
"420","French Polynesia",72127.810653238
"421","Phoenix Group",14596.4143738997
"422","Cook Islands",58045.0358631669
"423","Nauru",14570.4558609417
"424","Micronesia",95625.8425778003
"425","Papua New Guinea",43441.2829698887
"426","Palmyra Atoll",56410.7978845766
"427","Tokelau",76229.1256407115
"428","Phoenix Group",38373.9672369098
"429","Palmyra Atoll",3724.30615987828
"430","Howland and Baker islands",164887.800196805
"431","Marshall Islands",89171.3672575143
"432","Tuvalu",46020.9751533297
"433","Hawaii",111440.167187976
"434","Line Group",708.14668414897
"435","Philippines",94813.1449735871
"436","Gilbert Islands",180047.360576599
"437","Howland and Baker islands",116106.832552048
"438","Philippines",44270.3684359078
"439","Philippines",86908.6134703683
"440","Hawaii",90703.0990222232
"441","Micronesia",72171.4431379459
"442","Howland and Baker islands",32650.173952462
"443","Papua New Guinea",44293.0514504887
"444","Phoenix Group",113329.009143448
"445","Micronesia",101891.98722726
"446","Japan",138257.948563515
"447","Papua New Guinea",20829.1801889778
"448","Jarvis Island",105320.907127749
"449","Papua New Guinea",8704.45547506403
"450","Howland and Baker islands",38931.9506560802
"451","Japan",104642.129287191
"452","Fiji",66630.8222776036
"453","Hawaii",135042.61235579
"454","Guam",137506.400832375
"455","Jarvis Island",123592.23981747
"456","French Polynesia",32347.8358571279
"457","Howland and Baker islands",10116.8908842303
"458","Tokelau",67982.1450490277
"459","Cook Islands",86405.2806801562
"460","Johnston Atoll",114962.095248089
"461","Japan",118730.18220038
"462","Howland and Baker islands",151959.814292917
"463","Howland and Baker islands",103881.674618033
"464","Johnston Atoll",27294.2140858655
"465","Cook Islands",94863.0814367621
"466","Line Group",166856.21011576
"467","Johnston Atoll",30995.1432655783
"468","Palau",52669.8013970234
"469","Howland and Baker islands",52865.8326804137
"470","Phoenix Group",153774.719690923
"471","Hawaii",124226.038891499
"472","Northern Mariana Islands",139403.089592883
"473","Palmyra Atoll",15302.7439504689
"474","French Polynesia",38746.34736307
"475","Marshall Islands",174729.796223092
"476","Hawaii",76477.5922888199
"477","Micronesia",138335.65740599
"478","Line Group",168916.230278216
"479","Johnston Atoll",11843.0125777754
"480","Northern Mariana Islands",182521.410177203
"481","Micronesia",22295.1559658334
"482","Tuvalu",1776.21497275611
"483","Hawaii",78061.2249883629
"484","Line Group",138024.899795636
"485","Hawaii",26781.2075088351
"486","Micronesia",68701.6047402071
"487","Johnston Atoll",27618.2632922776
"488","Tuvalu",42778.0603439995
"489","Marshall Islands",38550.1051379437
"490","French Polynesia",175833.924556892
"491","Line Group",31412.0914335527
"492","Wake Island",117938.759004878
"493","Papua New Guinea",51908.3549939643
"494","Howland and Baker islands",140964.149605294
"495","Philippines",38570.895114822
"496","Cook Islands",5384.43173714461
"497","Tuvalu",55886.4750898961
"498","Micronesia",83239.4153283151
"499","French Polynesia",75152.7597759388
"500","French Polynesia",168484.353112128
"501","Line Group",111591.59237422
"502","Tokelau",62286.668377137
"503","Phoenix Group",111248.042390104
"504","Northern Mariana Islands",13997.8126931672
"505","Howland and Baker islands",148063.458471079
"506","Micronesia",118473.15325181
"507","Gilbert Islands",156266.686253232
"508","Phoenix Group",72582.3930491929
"509","Japan",107127.360690175
"510","Japan",121863.823557459
"511","French Polynesia",94328.3346913244
"512","Cook Islands",100476.759746568
"513","Micronesia",17195.659845421
"514","Micronesia",66294.1721241803
"515","Marshall Islands",134798.546859291
"516","Palau",94956.0659735062
