"","eez","Dist"
"436","Howland and Baker islands",73399.7830238575
"437","Line Group",19436.7037466587
"438","Palmyra Atoll",77453.4251584567
"439","Howland and Baker islands",7503.95798421394
"440","Palmyra Atoll",457606.818220609
"441","Northern Mariana Islands",45025.9951405233
"442","Johnston Atoll",588695.571862401
"443","Philippines",5472.42390564161
"444","Marshall Islands",344634.803443727
"445","Marshall Islands",31916.3493682569
"446","Marshall Islands",322.177470484676
"447","Philippines",233095.204573691
"448","Palau",106340.934199019
"449","Gilbert Islands",84567.8468044417
"450","Johnston Atoll",443627.640680977
"451","Northern Mariana Islands",301676.358742214
"452","Nauru",76490.0279842406
"453","Johnston Atoll",278176.027980451
"454","Phoenix Group",148136.941009182
"455","Johnston Atoll",312061.516407263
"456","Johnston Atoll",590634.914649932
"457","Japan",229720.157046052
"458","Johnston Atoll",338804.434890276
"459","French Polynesia",482361.300073934
"460","Line Group",441473.290008909
"461","Micronesia",54200.2580341295
"462","Jarvis Island",109450.728939102
"463","Phoenix Group",119149.420428475
"464","Micronesia",24301.2362307249
"465","Palmyra Atoll",208132.141831298
"466","Phoenix Group",50239.835152521
"467","Johnston Atoll",439583.448406243
"468","Jarvis Island",96950.7087196188
"469","Indonesia",82966.1613672279
"470","Line Group",110855.5886727
"471","Northern Mariana Islands",121453.082195551
"472","Line Group",526900.112588841
"473","Marshall Islands",291722.586337322
"474","Marshall Islands",602009.762834383
"475","Marshall Islands",74061.0399120876
"476","Palmyra Atoll",166166.585752917
"477","Palmyra Atoll",276366.553032872
"478","Jarvis Island",70998.2962351379
"479","French Polynesia",385907.926901265
"480","Papua New Guinea",3171.55769124748
"481","Gilbert Islands",228109.996842225
"482","French Polynesia",461431.825007144
"483","Marshall Islands",293030.365972733
"484","Micronesia",358013.585558204
"485","Johnston Atoll",104460.658078881
"486","Micronesia",279580.374229154
"487","French Polynesia",215941.479144174
"488","Gilbert Islands",3347.68411990567
"489","Micronesia",436376.605068298
"490","Palmyra Atoll",276034.51323074
"491","Wake Island",317271.800432964
"492","French Polynesia",245994.801229714
"493","Johnston Atoll",231794.052233186
"494","Howland and Baker islands",369962.661285645
"495","French Polynesia",4945.13898622593
"496","Papua New Guinea",99007.4301600203
"497","Line Group",293658.878840324
"498","Marshall Islands",151156.970574448
"499","Jarvis Island",98062.6441035888
"500","French Polynesia",261750.627224189
"501","Solomon Islands",88394.4761794763
"502","Micronesia",113804.598189316
"503","Jarvis Island",7134.59552085762
"504","Philippines",267983.312650366
"505","Marshall Islands",367471.182217901
"506","Line Group",52461.0380360362
"507","French Polynesia",155676.85965477
"508","Japan",135761.872275447
"509","Micronesia",256375.369016085
"510","Philippines",116353.524015286
"511","Micronesia",188961.688545596
"512","Palmyra Atoll",375172.273371939
"513","Wake Island",95777.1680574346
"514","Cook Islands",16644.9941915539
"515","Line Group",142001.133457257
"516","Johnston Atoll",90689.7390389596
"517","Marshall Islands",195674.670901091
"518","Line Group",269090.650450028
"519","French Polynesia",135251.061807058
"520","Cook Islands",145916.93926784
"521","Marshall Islands",337695.018394984
"522","Gilbert Islands",77751.6109309703
"523","Palmyra Atoll",391589.630480181
"524","Wake Island",485390.650146006
"525","Japan",302421.761588727
"526","Philippines",98770.4392679873
"527","Johnston Atoll",572408.439554548
"528","Marshall Islands",57387.1382133231
"529","Phoenix Group",118347.918617208
"530","Marshall Islands",513210.710277136
"531","Marshall Islands",567075.155572374
"532","Marshall Islands",725790.590485257
"533","French Polynesia",200307.384114323
"534","Hawaii",231773.01770184
"535","Johnston Atoll",488934.056715226
"536","French Polynesia",158829.790661541
"537","Nauru",67825.4441414936
"538","Johnston Atoll",262176.862342532
"539","French Polynesia",455900.939079184
"540","Line Group",729459.2889985
"541","Line Group",564649.513129199
"542","Line Group",307504.771840004
"543","Marshall Islands",53135.5226373011
"544","Howland and Baker islands",352921.46991178
"545","Howland and Baker islands",40347.762842908
"546","French Polynesia",427196.224515631
"547","Northern Mariana Islands",174720.819547391
"548","Howland and Baker islands",27920.8896252516
"549","Line Group",210441.669919319
"550","Phoenix Group",281394.697375317
"551","Micronesia",75404.2281019745
"552","Johnston Atoll",277245.239785639
"553","Marshall Islands",622865.626302425
"554","Johnston Atoll",529474.203298485
"555","Micronesia",46619.9788177478
"556","Howland and Baker islands",258047.822320622
"557","Marshall Islands",223478.009358279
"558","Japan",207520.646749016
"559","Line Group",517027.976355914
"560","Line Group",545992.385789559
"561","Marshall Islands",560704.091090516
"562","Palmyra Atoll",76865.6844968532
"563","Johnston Atoll",120275.079738658
"564","Palmyra Atoll",317658.019597788
"565","Palmyra Atoll",426553.398234889
"566","French Polynesia",291682.739954876
"567","French Polynesia",300751.439771785
"568","Phoenix Group",307860.02953095
"569","Hawaii",249550.121681872
"570","Micronesia",102237.671895275
"571","Philippines",147162.799374008
"572","Hawaii",314440.10440757
"573","French Polynesia",40234.9770033083
"574","Marshall Islands",75816.4309491648
"575","Johnston Atoll",298327.771371323
"576","Hawaii",158072.822946366
"577","Japan",168815.390204123
"578","Wake Island",276705.629113177
"579","Line Group",365270.537760778
"580","Marshall Islands",306230.62439185
"581","Hawaii",106091.950514291
"582","Johnston Atoll",593691.629937355
"583","Line Group",48337.8465764939
"584","Howland and Baker islands",508881.63745357
"585","Papua New Guinea",74985.0757381734
"586","French Polynesia",478157.546599899
"587","Wake Island",346277.630070962
"588","Marshall Islands",185602.477375186
"589","Howland and Baker islands",432283.114624502
"590","French Polynesia",94679.9569399157
"591","French Polynesia",498393.553030212
"592","Howland and Baker islands",59532.9334276476
"593","French Polynesia",694540.786826936
"594","Marshall Islands",132054.220629276
"595","Northern Mariana Islands",602825.752084078
"596","Jarvis Island",63339.770722616
"597","Line Group",201245.946423791
"598","Palau",152235.216747193
"599","Johnston Atoll",359171.983688026
"600","Indonesia",91707.1026812482
"601","Cook Islands",140371.295078556
"602","Marshall Islands",362.0770985202
"603","Marshall Islands",688100.728758116
"604","Phoenix Group",241948.629944693
"605","Guam",79834.745190743
"606","Palmyra Atoll",261840.081844986
"607","Marshall Islands",635134.034498043
"608","Howland and Baker islands",254220.821586058
"609","Philippines",182282.050088515
"610","Micronesia",2055.06753039931
"611","French Polynesia",70290.3543932976
"612","Marshall Islands",264732.261356485
"613","Johnston Atoll",345887.295351097
"614","Jarvis Island",198492.957386199
"615","Marshall Islands",310674.86724884
"616","Howland and Baker islands",420855.597329313
"617","Hawaii",168599.342642366
"618","French Polynesia",41799.1969766675
"619","French Polynesia",104619.602748861
"620","Johnston Atoll",123823.724923336
"621","Japan",123573.460119116
"622","Hawaii",709424.52643701
"623","Johnston Atoll",241403.892874588
"624","Micronesia",116714.366043583
"625","Japan",145925.467807517
"626","Palmyra Atoll",149024.886737498
"627","French Polynesia",110945.458154054
"628","Palmyra Atoll",139555.006470137
"629","Philippines",130122.730793656
"630","Line Group",222267.193410723
"631","Palmyra Atoll",272622.745743534
"632","Gilbert Islands",55053.5066827857
"633","Marshall Islands",166190.348787163
"634","Johnston Atoll",133842.465002832
"635","Howland and Baker islands",39502.6994130149
"636","Marshall Islands",130930.39016896
"637","Marshall Islands",177372.614771715
"638","Hawaii",473313.339446245
"639","Marshall Islands",67016.7597332135
"640","Johnston Atoll",108624.126358046
"641","Micronesia",27533.3147333153
"642","Palmyra Atoll",196095.897639482
"643","French Polynesia",40600.4968894725
"644","Johnston Atoll",138918.540121649
"645","Solomon Islands",27387.7306670753
"646","Howland and Baker islands",491655.194525384
"647","Johnston Atoll",134614.579943439
"648","Howland and Baker islands",211417.027742516
"649","Papua New Guinea",59888.5844775851
"650","French Polynesia",36880.398015107
"651","Philippines",298359.311309549
"652","Johnston Atoll",142642.066039861
"653","French Polynesia",485604.631574358
"654","Line Group",32825.176525316
"655","Micronesia",4456.07237534675
"656","Line Group",372156.592032283
"657","Marshall Islands",633085.972177453
"658","Japan",115783.059633967
"659","Line Group",349103.366526176
"660","Marshall Islands",828162.225017907
"661","Wake Island",307215.665853766
"662","Philippines",137673.530853528
"663","Solomon Islands",82193.1189541425
"664","Howland and Baker islands",691082.824485756
"665","Howland and Baker islands",309921.893674051
"666","Hawaii",503034.481554563
"667","Marshall Islands",175545.299116045
"668","Line Group",32506.2971870553
"669","French Polynesia",231695.900521261
"670","Jarvis Island",167795.777292033
"671","Northern Mariana Islands",14530.2060470467
"672","Wake Island",288797.537404764
"673","Howland and Baker islands",521464.736371125
"674","Gilbert Islands",81200.2948453774
"675","Marshall Islands",394532.431530814
"676","Johnston Atoll",125092.618490196
"677","Howland and Baker islands",158128.147966797
"678","Marshall Islands",117292.802726709
"679","Jarvis Island",139790.497218791
"680","French Polynesia",576224.192187553
"681","Japan",145596.749400133
"682","Marshall Islands",493159.407854181
"683","Johnston Atoll",238604.780346461
"684","French Polynesia",376877.564769162
"685","Northern Mariana Islands",187292.621592969
"686","Japan",315479.235202796
"687","Johnston Atoll",365503.996894702
"688","French Polynesia",92811.9894396293
"689","Jarvis Island",286532.945028424
"690","Cook Islands",70426.0524632961
"691","Line Group",493524.516183494
"692","Palau",29745.7504430147
"693","French Polynesia",154891.804561097
