FID,country,name,subcountry,id,Aire_CydEA,ORIG_FID,POINT_X,POINT_Y
184,MP,Northern Mariana Islands,MP,16,744743.6759,2,149.1000977,19.60009766
185,MP,Northern Mariana Islands,MP,16,744743.6759,2,149.2000732,19.40008545
186,MP,Northern Mariana Islands,MP,16,744743.6759,2,149.1500854,18.85009766
187,MP,Northern Mariana Islands,MP,16,744743.6759,2,149.4000854,17.80010986
188,MP,Northern Mariana Islands,MP,16,744743.6759,2,149.3500977,17.00012207
189,MP,Northern Mariana Islands,MP,16,744743.6759,2,149.2501221,16.00012207
190,MP,Northern Mariana Islands,MP,16,744743.6759,2,149.3500977,15.70007324
191,MP,Northern Mariana Islands,MP,16,744743.6759,2,149.4000854,15.00012207
192,MP,Northern Mariana Islands,MP,16,744743.6759,2,148.9000854,13.70007324
193,MP,Northern Mariana Islands,MP,16,744743.6759,2,148.4500732,12.93847656
194,MP,Northern Mariana Islands,MP,16,744743.6759,2,148.2479248,12.53167725
195,MP,Northern Mariana Islands,MP,16,744743.6759,2,148.0991211,12.29650879
NA,NA,NA,NA,NA,NA,NA,NA,NA
1,NC,New Caledonia,NC,17,1100182,3,170.0333252,-21.63330078
2,NC,New Caledonia,NC,17,1100182,3,169.8250732,-25.34460449
3,NC,New Caledonia,NC,17,1100182,3,169.5878906,-25.50848389
4,NC,New Caledonia,NC,17,1100182,3,169.3123169,-25.66247559
5,NC,New Caledonia,NC,17,1100182,3,169.0587158,-25.79150391
6,NC,New Caledonia,NC,17,1100182,3,166.3588867,-25.9197998
7,NC,New Caledonia,NC,17,1100182,3,165.3203125,-25.48529053
8,NC,New Caledonia,NC,17,1100182,3,164.9353027,-25.30621338
9,NC,New Caledonia,NC,17,1100182,3,164.5299072,-25.12860107
10,NC,New Caledonia,NC,17,1100182,3,164.2235107,-24.95410156
11,NC,New Caledonia,NC,17,1100182,3,163.9102783,-24.76037598
12,NC,New Caledonia,NC,17,1100182,3,163.4642944,-24.43499756
13,NC,New Caledonia,NC,17,1100182,3,162.9254761,-24.0916748
14,NC,New Caledonia,NC,17,1100182,3,162.5795288,-23.83648682
15,NC,New Caledonia,NC,17,1100182,3,162.194519,-23.4777832
16,NC,New Caledonia,NC,17,1100182,3,161.8234863,-23.07958984
17,NC,New Caledonia,NC,17,1100182,3,161.0864868,-23.9229126
18,NC,New Caledonia,NC,17,1100182,3,160.5001221,-24.29998779
19,NC,New Caledonia,NC,17,1100182,3,159.7836914,-24.66619873
20,NC,New Caledonia,NC,17,1100182,3,159.1323242,-24.92169189
21,NC,New Caledonia,NC,17,1100182,3,158.6109009,-25.1473999
22,NC,New Caledonia,NC,17,1100182,3,157.8010864,-23.24829102
23,NC,New Caledonia,NC,17,1100182,3,157.3120728,-22.52722168
24,NC,New Caledonia,NC,17,1100182,3,157.2178955,-22.17529297
25,NC,New Caledonia,NC,17,1100182,3,157.2432861,-21.78918457
26,NC,New Caledonia,NC,17,1100182,3,157.1715088,-21.21661377
27,NC,New Caledonia,NC,17,1100182,3,157.1068726,-20.89251709
28,NC,New Caledonia,NC,17,1100182,3,157.0761108,-20.71520996
29,NC,New Caledonia,NC,17,1100182,3,157.0524902,-20.54107666
30,NC,New Caledonia,NC,17,1100182,3,156.8261108,-20.14111328
31,NC,New Caledonia,NC,17,1100182,3,156.2556763,-19.28668213
